mC mH tb Zd Ze
1016.2776 125.09 1.5 49.339 37.6109
1016.2776 225.09 1.5 75.429 54.0989
1016.2776 325.09 1.5 85.2572 56.9162
1016.2776 425.09 1.5 4.01372 3.52378
1016.2776 525.09 1.5 2.47966 2.2432
1016.2776 625.09 1.5 1.74617 1.63931
1016.2776 725.09 1.5 1.26092 1.20159
1016.2776 825.09 1.5 0.654834 0.639293
1016.2776 925.09 1.5 0.0204156 0.0203962
1116.2776 1025.09 1.5 0.0145353 0.0145265
1116.2776 125.09 1.5 42.7302 31.1938
1116.2776 225.09 1.5 64.5018 45.6605
1116.2776 325.09 1.5 77.5568 49.4485
1116.2776 425.09 1.5 3.5403 3.10584
1116.2776 525.09 1.5 2.21433 2.01659
1116.2776 625.09 1.5 1.61225 1.50787
1116.2776 725.09 1.5 1.38782 1.31602
1116.2776 825.09 1.5 1.13218 1.07801
1116.2776 925.09 1.5 0.544166 0.531158
1216.2776 1025.09 1.5 0.386417 0.381131
1216.2776 1125.09 1.5 0.0115429 0.0115367
1216.2776 125.09 1.5 37.5285 26.9964
1216.2776 225.09 1.5 64.5104 42.3577
1216.2776 325.09 1.5 67.4989 43.7033
1216.2776 425.09 1.5 3.07444 2.71983
1216.2776 525.09 1.5 1.80635 1.67525
1216.2776 625.09 1.5 1.54136 1.44406
1216.2776 725.09 1.5 1.2697 1.20937
1216.2776 825.09 1.5 1.10959 1.06262
1216.2776 925.09 1.5 0.866437 0.836162
1316.2776 1025.09 1.5 0.698442 0.702604
1316.2776 1125.09 1.5 0.377113 0.370273
1316.2776 1225.09 1.5 0.00857007 0.00856674
1316.2776 125.09 1.5 35.178 24.7592
1316.2776 225.09 1.5 55.2094 36.5551
1316.2776 325.09 1.5 63.1975 38.7804
1316.2776 425.09 1.5 2.40241 2.17556
1316.2776 525.09 1.5 1.53034 1.43176
1316.2776 625.09 1.5 1.2309 1.17204
1316.2776 725.09 1.5 1.16863 1.11153
1316.2776 825.09 1.5 1.09918 1.04758
1316.2776 925.09 1.5 0.910426 0.876883
1416.2776 1025.09 1.5 0.782893 0.75555
1416.2776 1125.09 1.5 0.600015 0.583524
1416.2776 1225.09 1.5 0.287641 0.283829
1416.2776 125.09 1.5 27.6726 20.5353
1416.2776 1325.09 1.5 0.00691245 0.00691005
1416.2776 225.09 1.5 49.4744 32.0423
1416.2776 325.09 1.5 55.7417 34.867
1416.2776 425.09 1.5 2.04688 1.87507
1416.2776 525.09 1.5 1.26298 1.19536
1416.2776 625.09 1.5 1.0074 0.967836
1416.2776 725.09 1.5 0.969711 0.932461
1416.2776 825.09 1.5 0.959808 0.919016
1416.2776 925.09 1.5 0.834634 0.806525
1516.2776 1025.09 1.5 0.689312 0.66752
1516.2776 1125.09 1.5 0.603851 0.586548
1516.2776 1225.09 1.5 0.454246 0.445292
1516.2776 125.09 1.5 26.4066 18.1223
1516.2776 1325.09 1.5 0.202028 0.200365
1516.2776 1425.09 1.5 0.00548257 0.00548108
1516.2776 225.09 1.5 43.8346 28.0207
1516.2776 325.09 1.5 46.316 29.7833
1516.2776 425.09 1.5 1.60705 1.4998
1516.2776 525.09 1.5 1.01113 0.967834
1516.2776 625.09 1.5 0.900126 0.863594
1516.2776 725.09 1.5 0.784739 0.760058
1516.2776 825.09 1.5 0.728108 0.706589
1516.2776 925.09 1.5 0.759617 0.733278
1616.2776 1025.09 1.5 0.607682 0.590835
1616.2776 1125.09 1.5 0.57828 0.562699
1616.2776 1225.09 1.5 0.493305 0.482278
1616.2776 125.09 1.5 21.7097 15.3726
1616.2776 1325.09 1.5 0.368828 0.362803
1616.2776 1425.09 1.5 0.170221 0.168863
1616.2776 1525.09 1.5 0.00389337 0.0038927
1616.2776 225.09 1.5 38.3901 24.5618
1616.2776 325.09 1.5 42.1444 26.6657
1616.2776 425.09 1.5 1.46811 1.37424
1616.2776 525.09 1.5 0.8287 0.800419
1616.2776 625.09 1.5 0.731668 0.70735
1616.2776 725.09 1.5 0.690861 0.668897
1616.2776 825.09 1.5 0.637856 0.619688
1616.2776 925.09 1.5 0.644351 0.625506
1716.2776 1025.09 1.5 0.523695 0.51109
1716.2776 1125.09 1.5 0.511214 0.498854
1716.2776 1225.09 1.5 0.47355 0.463262
1716.2776 125.09 1.5 20.5439 14.3792
1716.2776 1325.09 1.5 0.424178 0.415557
1716.2776 1425.09 1.5 0.285502 0.282164
1716.2776 1525.09 1.5 0.142167 0.141185
1716.2776 1625.09 1.5 0.00323262 0.00323213
1716.2776 225.09 1.5 31.1318 21.7512
1716.2776 325.09 1.5 37.2979 23.7915
1716.2776 425.09 1.5 1.21993 1.15346
1716.2776 525.09 1.5 0.71536 0.692738
1716.2776 625.09 1.5 0.598247 0.582598
1716.2776 725.09 1.5 0.571246 0.555937
1716.2776 825.09 1.5 0.555037 0.540629
1716.2776 925.09 1.5 0.533543 0.520191
1816.2776 1025.09 1.5 0.439583 0.430824
1816.2776 1125.09 1.5 0.457262 0.447218
1816.2776 1225.09 1.5 0.419678 0.411868
1816.2776 125.09 1.5 17.6695 12.5801
1816.2776 1325.09 1.5 0.379984 0.373457
1816.2776 1425.09 1.5 0.332584 0.327731
1816.2776 1525.09 1.5 0.270363 0.266821
1816.2776 1625.09 1.5 0.109735 0.109206
